Content Title,Content Description,Content Type,Content Last Watched Date (if viewed),Content Completed At (if completed),Content Saved,Notes taken on videos (if taken),
Computer and Text Neck Stretching Exercises,"Our necks bear the brunt of the stress when we spend too much time looking at screens. Taking a break is the best solution, but sometimes we can’t afford to go offline. Luckily, with simple corrections to your posture and typing habits, you can eliminate injury to this sensitive area. Join Dr. Baxter Bell for this series of exercises that can help relieve and prevent neck pain. Discover the proper way to stretch your back and neck, lengthen your neck muscles and upper spin, deepen your breath, and get the blood flowing through your body. Plus, learn a simple exercise that will benefit your neck and your wrists.<br><br>

Note: This course was created and produced by <a href=”https://www.desk-yogi.com” target=”_blank”>Desk Yogi</a>.",Course,2021-06-21 06:33 UTC,N/A,false,N/A,
Lightroom for Faces (2019),"Retouching faces used to be challenging without using Adobe Photoshop, but recent improvements in Lightroom—involving the Spot Removal tool, Clone Stamp tool, Adjustment Brush tool, syncing capabilities, and more—have made it much simpler to use Lightroom as a stand-alone solution. This course shows you how to save time by staying in Lightroom instead of Photoshop. Discover how to remove unwanted blemishes, make local or targeted adjustments, enhance eyes, smooth skin, and more.",Course,2021-10-07 09:09 UTC,N/A,false,N/A,
SharePoint 365: Advanced Workflows with Nintex,"Do you need advanced forms that can accept, calculate, and validate user input? Nintex Forms for Office 365, the drag-and-drop forms designer, makes it easy to create complex forms for SharePoint and other Office applications. In this course, Tiffany Songvilay walks through adding business logic to forms using this powerful plugin. Learn how to format forms, write formulas, set up custom variables and controls, use validation rules, and leverage the responsive form layout. Tiffany reveals how to change the behavior of existing buttons, cascade lookup formulas, and even export the form for use elsewhere. You don't need to be a developer to benefit from these techniques. Follow along to start building your own interactive forms for SharePoint.",Course,2018-03-03 15:58 UTC,N/A,false,N/A,
SOLIDWORKS: Designing for Consumer Electronics,"Consumer electronics are all around us, and new products are created every year. In this course, instructor Johno Ellison teaches the basics of designing these items in SOLIDWORKS. Through this project-based course, he shows you how to design a game controller using SOLIDWORKS features like lofts, fillets, mirroring, and shell. Course projects include creating an assembly, adding fastening details, and even creating the buttons, joystick, and printed circuit board that go into the controller. Johno concludes with a discussion of development and potential next stages in the design process.",Course,2021-06-30 12:18 UTC,N/A,false,N/A,
Career Advice from Some of the Biggest Names in Business,"What if you could get career advice from the world's most influential thinkers, leaders, and innovators? People who have run the top companies, created the most beloved brands, transformed industries, and changed the world? Now you can. This course brings together the best insights from our collection of interviews with LinkedIn Influencers. CEOs such as Richard Branson, Bill Gates, Indra Nooyi, and Meg Whitman reveal what it takes to get your foot in the door and then work your way up. Discover why Starbucks founder Howard Schultz thinks that conviction is so critical, how Oprah found her vision, and what actress Priyanka Chopra does to find the next challenge. Each interview provides short and thoughtful tips you can use to propel your own career in the right direction.",Course,2021-06-10 08:32 UTC,N/A,false,N/A,
CompTIA Network+ (N10-007) Cert Prep: 3 The World of TCP/IP,"Take a deep dive into the world of TCP/IP while you study for the new CompTIA Network+ exam (N10-007). This is part 2 of a 9-part series, brought to you by a partnership between LinkedIn Learning and Total Seminars. The training is based on Mike Meyers's gold standard
<i>CompTIA Network+ All-in-One Exam Guide, 7th Edition</i>. This installment covers dynamic and static IP addressing, subnetting, NAT addressing, port forwarding, and dynamic and static routing using modern protocols such as RIP, OSPF, and BGP. By the end, you'll have improved your networking skills and your ability to earn this sought-after IT certification.<br><br>This Total Seminars course covers the exam certification topics. For information on additional study resources—including practice tests, lab simulations, books, and discounted exam vouchers—visit <a href=""https://www.totalsem.com/linkedin/"" target=""_blank"">totalsem.com/linkedin</a>. LinkedIn Learning members receive special pricing.<br><br>This course was created by Total Seminars. We are pleased to offer this training in our library.<br><br>We are a CompTIA Partner. As such, we are able to offer CompTIA exam vouchers at a 10% discount. For more information on how to obtain this discount, please download <a href=""https://media.licdn.com/media/AAYAAQCwAAoAAQAAAAAAAG3CMmCLXtxNTomv6EtKgcNb7Q.pdf"" target=""_blank"">these PDF instructions</a>.",Course,2021-04-14 09:25 UTC,N/A,false,N/A,
Be the Manager People Won't Leave,"<div><a href=""https://www.linkedin.com/newsletters/6457790820677410816?trk=lil-course-description"" target=""_blank"" class=""artdeco-button artdeco-button--1"">View Laurie's LinkedIn Newsletter</a></div><p>With the ""Great Reshuffle,"" employees are quitting their jobs at the highest rates in over 20 years, and 41% of the global workforce is considering leaving their jobs. Manager relationships are becoming the make-or-break point for whether employees stay or go. Join veteran HR leader Laurie Ruettimann as she reveals the data behind why it's more important than ever to be a manager who demonstrates empathy and inspires loyalty from the workforce. Laurie covers basics first: be someone people can trust, be an example of integrity, and be relentlessly inclusive. She steps you through ways to inspire your employees to grow. Laurie finishes up by showing you how you can help your team members love their work by being a next-level mentor, a fun-loving boss, and a leader who is genuinely invested in your employees’ well-being.</p>",Course,2022-05-13 07:04 UTC,N/A,false,N/A,
John Patitucci: Electric Bass Complete,"Explore the electric bass with master bassist John Patitucci. In this course, you can learn right- and left-hand exercises, drills for groove and timing using a variety of musical sources, and ear-training techniques for bass. John also explore the six-string extended bass guitar and its unique features. Plus, get tips for soloing and improvisation for bass guitar. These lessons are valuable for bassists of all levels, as well as any musician who plays or programs bass lines.<br><br>

This course was created by Alfred Music. We are pleased to offer this training in our library.",Course,2022-05-30 06:44 UTC,N/A,false,N/A,
Career Wellness Nano Tips with Shadé Zahrai,"Welcome to our <i>Nano Tips</i> series, where LinkedIn Learning creators deliver impactful lessons in literally seconds.<br><br>In this course, get some quick tips on how to better manage your work life and career. Check out some practical advice on workload prioritization, emotional self-regulation, and managing overwhelming work experiences. Also learn how to bring empathy to work, receive feedback with confidence, and even find out the real reason behind procrastination.",Course,2022-04-20 21:21 UTC,N/A,false,N/A,
CONTENT METADATA NO LONGER EXISTS - urn:li:lyndaCourse:466190,CONTENT METADATA NO LONGER EXISTS - urn:li:lyndaCourse:466190,Course,2018-02-24 10:49 UTC,N/A,true,N/A,
Learning Spring with Spring Boot (2019),"Spring is the hugely popular framework for developing Java applications in the enterprise space. In this course, discover how to leverage Spring Boot, which takes an opinionated view of the Spring platform. Follow Frank Moley as he walks through how to use Spring Boot to quickly and efficiently develop a practical, enterprise-style web application. As Frank explains how to develop the app, he helps to familiarize you with the general Spring framework. Plus, Frank dives into some of the basic projects of Spring that you can use to develop Java-based applications.",Course,2021-05-16 10:53 UTC,N/A,false,N/A,
Arduino: Prototyping,"For designers and product managers, the Arduino family of microcontrollers and easy-to-assemble components is a valuable tool for exploring and evaluating hardware product designs. Rapid, incremental prototypes can help improve outcomes and reduce cost and time in the design process. In this course, instructor Robert Gallup helps you go beyond the basics and learn what it takes to develop Arduino-based prototypes. Robert begins by providing an overview of the prototype development process, highlighting both best practices and potential pitfalls. He then steps through how to develop and refine a proof-of-concept prototype, introducing relevant concepts and techniques along the way. After this course, you'll be ready to tackle your own hardware prototyping using Arduino. <br>
Robert also includes several hands-on challenges with solutions to help you better understand the LCD, animation dynamics, and the final process of completing your prototype and modifying it in response to feedback.",Course,2022-11-10 07:18 UTC,N/A,false,N/A,
Learning Personal Branding,"You are the most powerful marketing tool at your disposal. If you are starting a business, establishing your thought leadership, or trying to get ahead in your career, it's a great time to start investing in the brand of you. Learn the secrets of personal branding in this course with marketing expert Chelsea Krost. Chelsea explains how to develop your story, craft your messaging, and define your audience. Then she walks you through building your brand presence online and off, creating a calendar that will help you stay on top of social media and keep your content fresh. Plus, get tips to monetize your personal brand and land speaking engagements and guest roles.",Course,2020-10-26 15:15 UTC,N/A,false,N/A,
CONTENT METADATA NO LONGER EXISTS - urn:li:lyndaCourse:2483198,CONTENT METADATA NO LONGER EXISTS - urn:li:lyndaCourse:2483198,Course,2022-07-12 10:07 UTC,N/A,false,N/A,
Learning Angular (2018),"Frameworks can help you get things done quickly by providing a model for development that yields special functionality. This course helps to acquaint you with a ""superheroic"" JavaScript framework for building single-page web applications—Angular. Ray Villalobos introduces the main features of the Angular framework, which was designed by Google to help you quickly develop web applications with advanced features like declarative templates and data-binding. Ray begins by explaining how to work with the Angular CLI, and demonstrating how to install additional frameworks—including jQuery and Bootstrap—to an Angular project. He then explains how to work with templates in Angular, bind data to templates, use lifecycle methods, and more.",Course,2018-02-15 14:20 UTC,N/A,false,N/A,
SharePoint Designer 2013: Custom Workflows,"See how to boost your team's productivity using custom workflows in Microsoft SharePoint. Gini Courter explains how to design workflows in SharePoint Designer, and eliminate inefficiencies and leverage automation to avoid repetitive tasks. You'll learn to create a simple form for your workflow, set up email notifications, and work with list and utility actions. Gini also shows how to design workflows that are easy to maintain and reusable, and deploy your workflows into the wild in SharePoint.",Course,2018-06-27 07:58 UTC,N/A,false,N/A,
CONTENT METADATA NO LONGER EXISTS - urn:li:lyndaCourse:170334,CONTENT METADATA NO LONGER EXISTS - urn:li:lyndaCourse:170334,Course,2018-08-02 07:58 UTC,N/A,false,N/A,
Java Essential Training: Syntax and Structure,"<p>Java is one of the most popular programming languages in the world, running on billions of devices across the globe. As such, being able to program in Java is a highly sought-after skill. This course with certified Java developer Angie Jones provides the foundation for learning how to program with the most recent Long-Term-Support (LTS) release, Java 17. Angie shows how to install Java and IntelliJ IDEA, a leading Java IDE, and start working with variables, data types, and other critical language components. She also helps you control program flow with conditional logic and loops, store data with Java collections, and understand how Java implements object-oriented coding principles such as inheritance. Angie also offers challenges along the way so you can test your skills as you go.</p><p>This course is part of a <a href=""https://www.linkedin.com/learning/paths/java-foundations-professional-certificate-by-jetbrains"" target=""_blank"">Professional Certificate</a> from JetBrains.</p>",Course,2023-09-17 10:59 UTC,N/A,false,N/A,
Grasshopper and Rhino: C# Scripting,"Grasshopper, the visual programming plugin for Rhino, offers many features that can help you generate complex parametric models. Want to push the boundaries of what Grasshopper can do even further? This course shows you how. Join instructor Jeremy Graham as he goes over the fundamentals of C# programming in Grasshopper, explaining how to extend the plugin's functionality by working directly with the Rhino API. To begin, Jeremy demonstrates how to set up Grasshopper to work with C#. He then covers basic C# concepts like strings, collections, and arrays, and steps through how to build all kinds of geometry with C#. After completing the course, you'll have the knowledge you need to start using C# to extend the functionality of Grasshopper and improve your ability to formulate innovative designs.",Course,2022-02-04 15:48 UTC,N/A,false,N/A,
CONTENT METADATA NO LONGER EXISTS - urn:li:lyndaCourse:647650,CONTENT METADATA NO LONGER EXISTS - urn:li:lyndaCourse:647650,Course,2018-01-17 16:41 UTC,N/A,true,N/A,
Nano Tips for Peak Performance with Shadé Zahrai,"Welcome to our <i>Nano Tips</i> series, where LinkedIn Learning creators deliver impactful lessons in literally seconds. In this installment, find out how to supercharge your performance, exploring key insights and techniques from peak performance researcher and behavioral strategist to Fortune 500 companies, Shadé Zahrai.  
<br><br>
Learn how to optimize your brain power, habits you can establish for success, and how you can set up a commitment to excellence to level up your career and performance for the long term.",Course,2024-11-30 07:06 UTC,N/A,false,N/A,
Advanced NoSQL for Data Science,"<p>Many organizations are turning to NoSQL databases to store large volumes of complex data, sparking an increased need for data scientists and analysts to understand non-relational data stores. If you're a data scientist or business analyst who needs to work with NoSQL, then this course is for you. Learn about the differences between relational and NoSQL databases, review types of NoSQL databases, and see how to perform common data science tasks, including data preparation, exploration, and building and applying models.</p><p>The course begins with an introduction to NoSQL, and then delves into the specifics of document, wide-column, and graph databases. Learn key details for performing data preparation, exploration, and extraction for each type of NoSQL database. Review case studies that show how to use various NoSQL databases with popular data science tools, including the document database MongoDB, the wide-column database Cassandra, and the graph database Neo4j.</p>",Course,2024-03-13 11:31 UTC,N/A,false,N/A,
Eclipse Essential Training (2018),"Eclipse is an industry-standard IDE and a critical tool for developers who want to build projects in multiple languages. In this course, Todd Perkins shows how to effectively use Eclipse's built-in tools and extensions to create, code, test, and debug projects in Java, PHP, C/C++, Perl, and Python. He'll show how to adapt the Eclipse workflow to the nuances of each language, and integrate with Git for version control. By the end of the course, developers will be able to wield all of Eclipse's most essential features with confidence.",Course,2017-03-03 08:10 UTC,N/A,false,N/A,
Understanding and Supporting Asian Employees,"Underrepresented employees face unique challenges in the workplace, and understanding how to support them in these challenges is key to building a more inclusive workplace. Dr. Sarah-SoonLing Blackburn shows you how to get started. She begins with important terminology and breaks down the model minority myth. Dr. Blackburn explains why lived experiences matter in the workplace and goes over several issues that impact Asian employees at work. She points out that the Asian community is not a monolith and discusses ways to build a more meaningfully inclusive workplace culture. Dr. Blackburn covers several steps you can take to support Asian employees, such as making space for discussion and speaking up against bias. She concludes by describing how everyone has a role to play in creating inclusive workplace environments. 
<br><br>
Note: This course contains US-based examples and scenarios; however, learners around the world may still find the concepts applicable.",Course,2022-03-16 13:50 UTC,N/A,false,N/A,
Preparing for a Career Transition over 50,"Prepare for a transition late in your career. Learn to adjust your time, finances, and behaviors as you move from one role to another. Career transition coach John Tarnoff shows how to be proactive, how to create a plan that helps you be resilient, and how to plan out your transition, depending on whether you have an existing job or income source. Because true change comes from within, John also helps you reshape your thought patterns and behaviors so you can make the most of a new opportunity—without hanging onto old habits. Finally, get tips for staying on top of technology and keeping up to date with 21st century workforce values. With these best practices, anyone over 50 can embark on a great second act.",Course,2022-06-15 07:09 UTC,N/A,false,N/A,
After Effects 2020 New Features,"After Effects 2020 is here. Want to know how this new version will impact your motion graphics workflow? This course covers the latest upgrade, focused around the new, more powerful Content-Aware Fill. Discover how to remove an object, create a reference frame, and remove a logo on a smooth surface with this intelligent editing tool. Instructor Mark Christiansen provides practical tips to help you get the most from this forward-looking update.",Course,2020-09-30 09:26 UTC,N/A,false,N/A,
Transform Your Personal Brand (2019),"Creating and owning a strong personal brand is one of the best things you can do for yourself. It’s the pathway for greater visibility and a better career. Learn how to transform your personal brand through a step-by-step process from LinkedIn top voice Goldie Chan. Whether you're inside a traditional company, or an entrepreneur building the next big thing, Goldie shares tactical steps and strategies to create and amplify a personal brand. Discover how to overcome impostor syndrome and differentiate yourself, and then craft and share a powerful brand story. Goldie also provides tips to select mentors to champion your brand, share your brand across many platforms, and live your brand every day, from simple daily interactions to unique networking and volunteering opportunities.<br><br>

This course was created by <a href=""http://www.onlymadecraft.com"" target=""_blank"">Madecraft</a>. We are pleased to host this content in our library.<br><br><img src=""https://media.licdn.com/media/AAYAAgCwAAoAAQAAAAAAAHppnBQxgeyWS2CsU3aDDPcMgw.jpg"" height=""25%"" width=""25%"">",Course,2022-04-12 19:35 UTC,N/A,false,N/A,
CONTENT METADATA NO LONGER EXISTS - urn:li:lyndaCourse:614305,CONTENT METADATA NO LONGER EXISTS - urn:li:lyndaCourse:614305,Course,2018-01-23 09:31 UTC,2018-01-18 16:00 UTC,true,N/A,
CONTENT METADATA NO LONGER EXISTS - urn:li:lyndaCourse:96949,CONTENT METADATA NO LONGER EXISTS - urn:li:lyndaCourse:96949,Course,2018-02-23 07:34 UTC,N/A,false,N/A,
Sheryl Sandberg and Adam Grant on Option B: Building Resilience,"Dodging adversity is often not a choice. Encountering a devastating event—the gut-wrenching kind that zaps away joy—is an inevitability of life. In their <em>New York Times</em> best-selling book <em>Option B: Facing Adversity, Building Resilience, and Finding Joy</em>, Facebook COO Sheryl Sandberg and Wharton psychologist Adam Grant share their insights on building resilience in the face of such setbacks. They offer practical steps you can take to reimagine and rebuild your life when your first choice—your Option A—is no longer on the table, and you're faced with the task of making the absolute best of Option B. This course highlights some of the powerful topics in this book, including how to talk to friends and colleagues who are hurting when you're not sure what to say, how to fight the idea that the hurt you're feeling is permanent, and how to give yourself permission to experience happiness again.<br><br> For additional resources and support, check out <a href=""https://optionb.org/"" target=""_blank""> OptionB.Org</a>, a nonprofit initiative dedicated to helping individuals build resilience in the face of adversity.",Course,2020-11-12 12:43 UTC,N/A,false,N/A,
Ethical Hacking: Introduction to Ethical Hacking (2019),"What is ethical hacking? When it comes to cybersecurity, hacking comes in many colors: white, grey, black, and shades in between. White hat hackers use their skills for good. They practice ethical hacking: involved testing to see if an organization's network is vulnerable to outside attacks. Ethical hacking is key to strengthening network security, and it's one of the most desired skills for any IT security professional. If you're interested in becoming an ethical hacker, or getting started securing your own network, this introduction is for you. Security expert Lisa Bock explores today's threat landscape, dissecting the top attack vectors and motives for attacks. Lisa identifies a variety of ways to secure an organization, explores policies that help enforce security objectives, and more.</br></br>

Note: The <em>Ethical Hacking</em> series maps to the 20 parts of the <a href=""https://iclass.eccouncil.org/our-courses/certified-ethical-hacker-ceh/#1493240598534-2f9b47f1-3b7e"" target=""_blank"">EC-Council Certified Ethical Hacker (CEH) exam (312_50) version 10.</a>",Course,2022-07-18 14:41 UTC,N/A,false,N/A,
SharePoint Workflow Automation: Nintex,"Make more of your repeat processes run automatically by leveraging the workflow capabilities of SharePoint. Admins and power users can readily learn and adopt the Nintex plugin as a solution for creating workflows, without having to write code. This course explores how to use Nintex, including how to automate an approval workflow, add workflow actions, monitor workflows, and design drag-and-drop forms.",Course,2018-03-02 17:07 UTC,2018-03-03 15:18 UTC,false,N/A,
The Leap to Leader: Go from Management to Leadership,"<p>If you’re angling to make the jump to a leadership position in your organization, it can be a daunting task. In his book, <i>The Leap to Leader: How Ambitious Managers Make the Jump to Leadership</i>, Adam Bryant details the insights he gained from over a decade’s worth of interviews with hundreds of CEOs. In this audiobook summary, Adam—the creator and former author of the <i>New York Times'</i> “Corner Office” column—shares some key leadership lessons from his book, and provides a roadmap for anyone looking to move into a leadership role.
</p><p>
Note: This audiobook summary was created by Next Big Idea Club. We are pleased to host this content in our library.",Course,2024-06-29 13:39 UTC,N/A,false,N/A,
CompTIA Network+ (N10-007) Cert Prep: 4 Making TCP/IP Work,"The CompTIA Network+ certification is one of the most popular vendor-neutral certifications for networking professionals. In this installment of the nine-part <i>CompTIA Network+ Cert Prep</i> series, instructor Mike Meyers covers essential networking concepts as he discusses TCP/IP applications and network naming. Mike dives into the concepts and characteristics of routing and switching. He explores various tools that can help you get quick answers when troubleshooting a network latency issue, explains the various protocols used in sending and receiving email, discusses how to work with the DNS system, and more.<br><br>This Total Seminars course covers the exam certification topics. For information on additional study resources—including practice tests, lab simulations, books, and discounted exam vouchers—visit <a href=""https://www.totalsem.com/linkedin/"" target=""_blank"">totalsem.com/linkedin</a>. LinkedIn Learning members receive special pricing.<br><br>This course was created by Total Seminars. We are pleased to offer this training in our library.<br><br>We are a CompTIA Partner. As such, we are able to offer CompTIA exam vouchers at a 10% discount. For more information on how to obtain this discount, please download <a href=""https://media.licdn.com/media/AAYAAQCwAAoAAQAAAAAAAG3CMmCLXtxNTomv6EtKgcNb7Q.pdf"" target=""_blank"">these PDF instructions</a>.",Course,2021-01-04 14:43 UTC,N/A,false,N/A,
Improving Your Listening Skills (2018),"Just as public speaking is a skill that you can hone through practice, good listeners aren't in possession of a special, unattainable gift—careful listening is a skill that you can learn. In this course, join career expert Dorie Clark as she helps uncover why it's hard to listen well, and how to develop the mindset of a good listener. She also provides multiple listening strategies to help you manage when you're the one not being listened to, how to keep yourself from interrupting, and how to listen to what's not being said. In addition, she explains how to let others know that they've been heard, and how to listen when someone is annoying.",Course,2018-02-18 21:29 UTC,2018-02-18 21:25 UTC,false,N/A,
Sleep Is Your Superpower,"Sleep is mandatory. You can’t outsource it and you can’t negotiate it—and it has a powerful impact on everything you do while you’re awake. So why not build habits to optimize your sleep and live your best life? Learn how to make sleep a priority and take steps to achieve sleep wellness. The Sleep Ambassador®, Nancy Rothstein, shares tips for optimizing sleep and performing at your best in work and life. Learn how to prioritize sleep, assess your sleep, create the right sleep environment, and adopt strategies to fall asleep and stay asleep. Nancy offers concrete, practical advice based on research and science—so you can master sleep as your superpower.",Course,2022-02-28 09:53 UTC,N/A,false,N/A,
SharePoint 2013 Essential Training,"In this course, Gini Courter shows you the basics you need to get started using Microsoft SharePoint Server 2013 for business collaboration and real-time documentation sharing. The course teaches SharePoint site owners and members how to create, edit, and save documents; create and use team sites; navigate permissions; maximize workflows; and fully integrate SharePoint and Office 2013.",Course,2018-01-12 09:51 UTC,N/A,false,N/A,
Office 365: Implement Identities for SSO (Office 365/Microsoft 365),"Office 365 is a cloud-based set of services that allow corporate users to securely communicate and collaborate more easily in today's mobile world. Single sign-on ensures that they can easily transition from one service or app to another, creating a more seamless and productive user experience.<br><br> 

Here, system admins will learn how to implement and manage federated identities for single sign-on in Office 365. Microsoft Certified Trainer Sharon Bennett shows how to plan for an Active Directory Federation Services (AD FS), install the AD FS role on Windows Server 2012 R2, and install and manage AD FS proxy servers.<br><br> 

Note: This training course maps to the Implement and Manage Federated Identities for SSO domain for Microsoft Certification exam 70-346.",Course,N/A,N/A,true,N/A,
Learning Microsoft Flow 2017,"Using the cloud-based Microsoft Flow, you can create automated workflows from your desktop, laptop, or mobile device between services like Facebook, Outlook, and Instagram—all without needing to write a single line of code. In this course, Gini von Courter dives into the basics of Microsoft Flow, and demonstrates how to use templates to automate tasks. She shows how to create a flow with a template, test your flow, create a flow in SharePoint, and use approval flows. Plus, she shows how to install and use the Microsoft Flow app to further enhance your mobile productivity.",Course,N/A,N/A,true,N/A,
